2025-12-16 12:13:18,105-DEBUG-root-28928::webapp_internal::get_web_value|3232:: Current value: 02
2025-12-16 12:13:19,162-INFO-root-28928::webapp_internal::filling_branch|1047:: Filling Branch: "02DF0001"
2025-12-16 12:13:19,163-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:19,192-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 12:13:19,194-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:19,253-DEBUG-root-28928::webapp_internal::get_web_value|3232:: Current value: 02DF0001
2025-12-16 12:13:20,322-INFO-root-28928::webapp_internal::filling_environment|1113:: Filling Environment: "07"
2025-12-16 12:13:20,322-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:20,351-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 12:13:20,355-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:20,411-DEBUG-root-28928::webapp_internal::get_web_value|3232:: Current value: 07
2025-12-16 12:13:21,419-DEBUG-root-28928::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 12:13:22,443-DEBUG-root-28928::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
2025-12-16 12:13:23,530-INFO-root-28928::webapp_internal::environment_screen|796:: Clicking on Button
2025-12-16 12:13:23,530-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:23,558-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 12:13:23,562-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:24,571-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:25,579-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:26,587-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:27,594-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:28,601-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:29,610-DEBUG-root-28928::webapp_internal::close_screen_before_menu|368:: Closing screen before the menu
2025-12-16 12:13:29,649-DEBUG-root-28928::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 12:13:30,686-DEBUG-root-28928::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
2025-12-16 12:13:30,686-DEBUG-root-28928::webapp_internal::close_coin_screen|1424:: Closing coin screen!
2025-12-16 12:13:31,236-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:31,285-DEBUG-root-28928::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 12:13:32,349-DEBUG-root-28928::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
