2025-12-16 11:12:11,061-DEBUG-root-39924::logging_config::logger|189:: Log file created: 'Log\GESIT03\TIR__20251216111211056.log'
2025-12-16 11:12:11,061-INFO-root-39924::base::Start|1183:: TIR Version: 2.4.3
2025-12-16 11:12:11,061-INFO-root-39924::base::Start|1184:: Python Version: 3.12.10
2025-12-16 11:12:11,061-INFO-root-39924::base::Start|1185:: Starting the browser
2025-12-16 11:12:18,200-INFO-root-39924::base::get_url|1294:: Page is ready!
2025-12-16 11:12:18,230-INFO-root-39924::base::Start|1256:: Browser maximized to 1936x1048
2025-12-16 11:12:18,230-INFO-root-39924::base::Start|1258:: Screen size is different from default used in headless mode
2025-12-16 11:12:18,275-INFO-root-39924::webapp_internal::Setup|247:: ***System Info*** in Setup():
2025-12-16 11:12:18,277-DEBUG-root-39924::psutil_info::system_info|5:: CPU USAGE: 15.3%
2025-12-16 11:12:18,278-DEBUG-root-39924::psutil_info::system_info|6:: MEMORY USAGE: 90.7%
2025-12-16 11:12:18,278-DEBUG-root-39924::psutil_info::system_info|7:: MEMORY AVAILABLE: 9.26%
2025-12-16 11:12:18,286-INFO-root-39924::base::webapp_shadowroot|1394:: Webapp: 10.1.6-RC4
2025-12-16 11:12:18,325-INFO-root-39924::webapp_internal::filling_initial_program|449:: Filling Initial Program: "SIGAMDI"
2025-12-16 11:12:18,326-DEBUG-root-39924::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 11:12:18,368-DEBUG-root-39924::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 11:12:18,569-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:18,577-DEBUG-root-39924::webapp_internal::try_send_keys|7976:: Trying to send keys to element using technique 0
2025-12-16 11:12:18,910-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: SIGAMDI
2025-12-16 11:12:18,910-INFO-root-39924::webapp_internal::filling_server_environment|463:: Filling Server Environment: "POUPEX_TST"
2025-12-16 11:12:18,910-DEBUG-root-39924::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 11:12:18,936-DEBUG-root-39924::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 11:12:19,331-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:19,359-DEBUG-root-39924::webapp_internal::try_send_keys|7976:: Trying to send keys to element using technique 0
2025-12-16 11:12:19,963-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: POUPEX_TST
2025-12-16 11:12:19,984-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:19,996-DEBUG-root-39924::webapp_internal::user_screen|519:: Filling user screen
2025-12-16 11:12:25,566-DEBUG-root-39924::base::scroll_to_element|759:: ********Warining scroll_to_element exception: Message: TypeError: can't access property "scrollIntoView", arguments[0] is null
Stacktrace:
@https://qasrverp:10020/webapp/:2:7
@https://qasrverp:10020/webapp/:3:8
*********
2025-12-16 11:12:25,608-DEBUG-root-39924::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 11:12:25,664-DEBUG-root-39924::base::scroll_to_element|759:: ********Warining scroll_to_element exception: Message: TypeError: can't access property "scrollIntoView", arguments[0] is null
Stacktrace:
@https://qasrverp:10020/webapp/:2:7
@https://qasrverp:10020/webapp/:3:8
*********
2025-12-16 11:12:25,803-INFO-root-39924::webapp_internal::user_screen|561:: Filling User
2025-12-16 11:12:25,833-DEBUG-root-39924::base::double_click|259:: Click Type: ClickType.SELENIUM
2025-12-16 11:12:26,007-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: 97137227104
2025-12-16 11:12:26,031-INFO-root-39924::webapp_internal::user_screen|621:: Filling Password
2025-12-16 11:12:26,052-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:26,117-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: Deire20191817+
2025-12-16 11:12:26,118-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:26,146-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:26,167-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:26,211-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:26,245-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:26,277-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:26,277-DEBUG-root-39924::webapp_internal::send_action|10480:: Trying to send action
2025-12-16 11:12:26,284-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:27,322-DEBUG-root-39924::webapp_internal::send_action|10522:: send_action method result = True
2025-12-16 11:12:27,323-DEBUG-root-39924::webapp_internal::send_action|10523:: send_action selenium status: False
2025-12-16 11:12:29,705-DEBUG-root-39924::base::scroll_to_element|759:: ********Warining scroll_to_element exception: Message: TypeError: can't access property "scrollIntoView", arguments[0] is null
Stacktrace:
@https://qasrverp:10020/webapp/:2:7
@https://qasrverp:10020/webapp/:3:8
*********
2025-12-16 11:12:29,755-INFO-root-39924::webapp_internal::filling_date|885:: Filling Date: "17/09/2025"
2025-12-16 11:12:29,755-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:29,790-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:29,794-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:29,814-DEBUG-root-39924::webapp_internal::try_send_keys|7976:: Trying to send keys to element using technique 1
2025-12-16 11:12:29,888-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: 17/09/2025
2025-12-16 11:12:30,972-INFO-root-39924::webapp_internal::filling_group|955:: Filling Group: "02"
2025-12-16 11:12:30,973-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:31,005-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:31,009-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:31,075-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: 02
2025-12-16 11:12:32,136-INFO-root-39924::webapp_internal::filling_branch|1047:: Filling Branch: "02DF0001"
2025-12-16 11:12:32,136-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:32,167-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:32,169-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:32,221-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: 02DF0001
2025-12-16 11:12:33,301-INFO-root-39924::webapp_internal::filling_environment|1113:: Filling Environment: "07"
2025-12-16 11:12:33,302-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:33,336-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:33,339-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:33,398-DEBUG-root-39924::webapp_internal::get_web_value|3232:: Current value: 07
2025-12-16 11:12:34,405-DEBUG-root-39924::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 11:12:35,446-DEBUG-root-39924::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
2025-12-16 11:12:36,546-INFO-root-39924::webapp_internal::environment_screen|796:: Clicking on Button
2025-12-16 11:12:36,546-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:36,579-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: None
2025-12-16 11:12:36,582-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:37,598-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:38,604-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:39,612-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:40,619-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:41,627-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:42,634-DEBUG-root-39924::webapp_internal::close_screen_before_menu|368:: Closing screen before the menu
2025-12-16 11:12:42,678-DEBUG-root-39924::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 11:12:43,716-DEBUG-root-39924::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
2025-12-16 11:12:43,716-DEBUG-root-39924::webapp_internal::close_coin_screen|1424:: Closing coin screen!
2025-12-16 11:12:44,265-DEBUG-root-39924::base::click|192:: Click Type: ClickType.JS
2025-12-16 11:12:44,327-DEBUG-root-39924::webapp_internal::close_warning_screen|1489:: Closing warning screen!
2025-12-16 11:12:45,374-DEBUG-root-39924::webapp_internal::check_screen_element|1291:: Checking screen element: "Atenção": False
2025-12-16 11:12:45,374-DEBUG-root-39924::webapp_internal::close_coin_screen|1424:: Closing coin screen!
2025-12-16 11:12:45,480-INFO-root-39924::webapp_internal::set_log_info|1623:: Getting log info
2025-12-16 11:12:45,480-INFO-root-39924::webapp_internal::SetLateralMenu|4184:: Navigating lateral menu: Ajuda > Sobre
2025-12-16 11:12:45,489-DEBUG-root-39924::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 11:12:45,527-DEBUG-root-39924::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 11:12:45,692-INFO-root-39924::webapp_internal::SetLateralMenu|4203:: Menu item: "Ajuda"
2025-12-16 11:12:45,692-DEBUG-root-39924::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 11:12:45,767-DEBUG-root-39924::webapp_internal::wait_blocker|2469:: Blocker status: False
